run,meanGamma,meanAlpha,meanTheta,RMSDGamma,RMSDAlpha,RMSDTheta,biasGamma,biasAlpha,biasTheta,corGamma,corAlpha,corTheta
56,3.8230493,0.8839253,0.3246479,0.181543829,0.0689855,0.009501125,-0.039514792,-0.023916624,0.003366506,0.9671713,0.9481126,0.9854154
57,4.0974789,0.8710483,0.3346834,0.27853471,0.11434351,0.01350726,-0.056030763,-0.01137059,0.001378169,0.9366972,0.8243984,0.9738274
58,3.6652653,0.8639914,0.3224298,0.21211255,0.083675,0.01032136,-0.05956619,-0.01308949,0.00233316,0.9325054,0.8971724,0.9716738
59,4.2513681,0.9341664,0.3455762,0.23550466,0.070608399,0.008992663,0.08968882,0.02045471,-0.00102775,0.9623127,0.9360547,0.9840407
60,3.9845752,1.0059323,0.3155221,0.21164138,0.08587966,0.01090331,0.045282283,0.025728232,-0.003799778,0.9594741,0.8142577,0.9594491
61,3.8763906,0.894358,0.3173494,0.27349672,0.09063452,0.01062777,-0.073092639,-0.012357937,0.001802817,0.8766814,0.8788888,0.9843746
62,3.7369569,0.8812805,0.3252175,0.27258688,0.09920226,0.01286683,-0.053291191,-0.034736397,0.005318542,0.8865481,0.7961579,0.9788251
63,3.9606715,0.8911612,0.3281723,0.21293498,0.07870078,0.01009557,-0.02781824,-0.00756078,0.00149898,0.96901,0.9562535,0.9736269
64,3.7899383,0.966478,0.3389036,0.19150035,0.08426678,0.01241076,-0.010457528,-0.011032838,0.000856743,0.970892,0.8882563,0.9639487
65,3.8190534,0.9040737,0.3376538,0.24092076,0.10012178,0.01218754,0.060011173,0.02181799,-0.001807253,0.9608055,0.8627187,0.9728583
66,3.9324368,0.886826,0.3174627,0.20400101,0.08789381,0.01094214,0.01628164,0.015284589,-0.002388543,0.9654093,0.8941362,0.9729721
67,3.8773178,0.9703721,0.3095673,0.29319025,0.14614565,0.01942346,0.105153381,0.048022945,-0.004080748,0.9187965,0.8198296,0.8882663
68,3.9180864,0.9496699,0.3209448,0.29551972,0.14104532,0.01735188,-0.010069495,-0.004573599,0.001229893,0.9380366,0.7721069,0.9508778
69,3.8463663,0.8941149,0.3013439,0.24636389,0.08216014,0.01111792,-0.003044813,-0.017086591,0.003882757,0.9571958,0.8856932,0.9863707
70,3.8475059,0.9046127,0.3183672,0.18938545,0.08528685,0.0107886,-0.028983179,0.001718722,-0.000107543,0.9716081,0.9166428,0.9661699
71,3.8417914,0.8898784,0.3235047,0.2338834,0.08130628,0.01166727,0.021689594,-0.000395953,0.003163046,0.9740125,0.8871319,0.9767496
72,3.912812,0.9225399,0.3192032,0.29770575,0.11680848,0.01459492,-0.00752152,-0.01509188,0.00157405,0.9251786,0.8340764,0.920147
73,3.6218549,0.9896296,0.3250669,0.21713392,0.10641565,0.01700044,-0.016745707,-0.029142238,0.006547577,0.9115404,0.7549098,0.9540921
74,4.0871075,0.9057033,0.3306123,0.197641346,0.071539707,0.008737894,0.065996257,0.013991924,-0.000472302,0.9742622,0.8603901,0.9851695
75,4.0206371,0.9763793,0.3128555,0.18460177,0.07595315,0.01080053,0.075530008,0.032023348,-0.003682773,0.9806339,0.9394177,0.973199
76,3.7907909,0.962719,0.3089861,0.24268923,0.09429117,0.01187281,-0.080898813,0.002054431,-0.003790084,0.9407395,0.8107013,0.9818265
77,3.9703021,0.9511162,0.3225708,0.1867896,0.08725467,0.01137654,-0.008271427,0.005678947,-0.000757306,0.9618624,0.8543324,0.9778681
78,3.8308029,0.9029043,0.3193203,0.222327,0.08035598,0.01230892,-0.01673768,-0.0126744,0.00244102,0.9348704,0.943216,0.9589677
79,3.7757708,0.9442031,0.2986149,0.2300202,0.1029866,0.014854,0.010158403,0.011156591,0.000264116,0.9482426,0.8737135,0.9819203
80,3.6999773,0.9392736,0.3186445,0.15595267,0.07920663,0.01232035,-0.01776522,-0.009773183,0.001091204,0.9763264,0.9074231,0.9791191
