Exp1,Exp2,Exp3,Exp4,Exp5
3.6973695,3.9152281,3.7974328,4.5478868,4.091686
4.570284,4.0417539,3.8463889,3.7156155,4.841743
4.0757353,3.8481038,3.8225341,3.9553434,4.6517603
5.055416,4.342693,4.2384206,3.7220828,4.8250018
4.9627311,4.0729702,3.8985398,4.2281963,4.0256379
4.1282291,4.047372,3.7268381,3.8753732,4.56635
5.0391778,4.0664275,3.8926913,3.8861065,4.3405574
4.0084501,3.7733518,3.8477896,4.3262897,4.0932017
4.0351461,3.9248181,3.9101487,3.9724309,4.808857
4.699083,4.4095798,3.749104,4.1763187,4.7656265
5.1567838,3.8633289,3.7687087,4.4111699,4.057769
4.1697803,4.0641496,3.9433171,3.9086437,4.3879816
4.4966141,3.5342563,4.1651354,3.9500599,4.6569552
3.5694639,3.5334462,3.7301531,3.873932,4.4654141
4.128481,3.9038852,3.8301728,4.0980514,4.4665814
4.7990204,3.632585,3.9264491,3.5167239,4.1907093
4.4028693,4.1334129,4.0799937,3.9834671,4.5658721
4.8840327,4.1593728,3.9150716,4.2224711,4.8762887
4.5945305,3.5915722,3.7550671,3.9627439,5.1580232
4.3696549,3.8992745,3.8959029,3.8702938,4.389229
4.7484846,4.325137,3.9997711,4.0066701,4.8645556
4.195774,3.9388543,3.9575265,3.8140739,4.5667963
4.774387,3.8923382,3.9748039,3.8940028,4.4079387
4.375335,3.6927052,3.8635401,4.5155632,4.2890292
4.0982317,3.7854791,3.9384752,4.4157358,4.1804988
