Exp1,Exp2,Exp3,Exp4,Exp5
2.335861,1.0182305,0.8688801,0.9363868,1.2365921
1.3203244,0.9436033,0.8474655,1.0000651,2.19615
2.1254272,0.8270691,0.8745384,0.8180469,1.4050378
3.2124198,0.91526,0.9494234,0.9835771,2.4011635
1.2056824,0.9310433,0.9601635,0.8627506,2.0150636
1.1693193,1.1051569,0.9502807,0.8512302,1.3177783
1.6595622,0.8620435,0.9886542,0.9187338,1.9822758
4.501101,1.0465339,0.8695912,0.8328517,2.8822725
2.3743759,0.8459254,0.8744009,1.0680055,2.324063
2.6860122,0.9580461,0.8943997,0.9291249,1.521828
3.311237,0.8337026,1.010656,0.8882008,2.5559195
3.1957733,1.0186001,0.9466972,0.8229496,1.5135113
2.4033909,0.9646839,0.9223709,1.0430396,1.1243368
1.0245404,0.9475463,0.9395593,0.7829474,1.6047093
1.3247975,0.8991009,0.9259585,0.9127708,1.7672853
1.7560004,0.9521145,0.9552815,0.9054651,2.0034924
0.9130238,1.0766566,0.91597,0.9479999,2.0535218
2.6458738,0.8852107,0.9253515,1.0657031,1.4400605
2.468579,0.91871,0.9220615,1.0610908,1.7043058
1.6907108,0.910665,0.9496285,0.9781508,1.4385239
2.0158667,1.0815756,0.9381354,0.9365587,1.7181638
1.2462861,1.1025171,0.9222614,0.792897,0.9646792
0.8811905,1.0379012,0.9687556,0.9459758,1.9675659
0.9709363,0.9943395,0.9222475,1.0662514,2.628958
1.939864,0.9734988,0.9540404,0.8676194,2.1556343
4.198267,0.9522065,0.9151965,0.9174455,1.9762964
3.3633091,0.9207195,0.8582255,0.8796891,1.7431526
1.2028062,0.9803152,0.9750588,1.0478602,1.6465731
2.241621,0.9982653,0.9050494,0.9304123,2.0598494
2.5766562,0.8341351,0.9167465,0.8765432,1.3357657
2.6375383,1.0515144,0.9048359,0.8624206,1.5801596
0.9643731,0.9660073,0.918855,0.8790229,1.0874635
1.868285,0.8928249,0.9300678,0.9028083,2.311147
0.977043,0.8648367,0.8767095,0.8306183,2.1752028
2.8424,1.140634,0.8969283,0.8477236,1.8915575
3.1248876,0.9037843,0.9475386,0.9009383,1.2277792
1.4573344,0.9008604,0.8717411,1.0149267,1.972273
1.9086121,0.9911878,0.9458517,0.969629,1.4359172
1.574987,0.9883202,0.8799975,0.9341663,1.0680936
1.6610672,1.0549017,0.9327153,0.9105752,2.345322
2.2540462,1.0285415,0.9530391,1.0237987,2.4730125
2.5171385,0.9039684,0.9354363,0.9370185,1.3208152
1.331233,0.9177138,0.9599569,0.9539956,1.8050855
1.3468327,0.8399934,1.0101237,0.8158842,1.6468901
0.8480963,0.9693107,0.9035072,1.018674,1.6675593
2.099367,0.8865906,0.8939276,0.9854712,1.8190588
2.3278523,0.8408847,0.9235254,0.8635936,1.6845088
1.4372442,1.1068869,0.8620931,0.9188249,1.8743267
1.9832893,1.0273441,0.9613617,0.8884196,2.5140697
1.7412925,0.8788315,0.9297,0.8744045,2.4011463
1.0715407,0.8781089,0.9534239,1.0014694,1.608107
3.0616298,0.9850109,0.9676281,1.1366386,2.6841569
0.9919909,0.9948944,0.8632263,0.9556153,2.0852132
2.491932,0.9510115,0.8664401,0.9575305,1.8725803
2.076949,0.8467439,0.9302202,1.0580412,1.3468555
2.0162005,1.0400193,0.9490238,0.9318842,1.2109935
