CExp1,HExp1,CExp2,HExp2,CExp3,HExp3,CExp4,HExp4,CExp5,HExp5
0.3339386,0.362483935,0.3224432,0.343359702,0.3240452,0.336994461,0.3148628,0.31458193,0.2743211,0.368118976
0.2063383,0.370418582,0.3209513,0.332253999,0.3285207,0.335727553,0.315639,0.292997306,0.2876518,0.363620163
0.2291679,0.350448738,0.3242435,0.352440394,0.3145658,0.336668697,0.3246312,0.33104737,0.2492697,0.367575731
0.3127451,0.363333114,0.3317834,0.357012394,0.3234714,0.349557123,0.3139926,0.364421923,0.2631275,0.364728417
0.2491865,0.38492963,0.3269918,0.356705683,0.3325123,0.331188616,0.3168328,0.246428478,0.2376069,0.378244169
0.2095238,0.369274564,0.3196905,0.342067689,0.3054552,0.349982346,0.3640801,0.32987956,0.2421663,0.362113141
0.1659389,0.34403526,0.3238804,0.33965173,0.3047471,0.336077315,0.3216657,0.334161413,0.285501,0.365180507
0.3184835,0.366048113,0.3042035,0.356040601,0.3302427,0.34687217,0.2773866,0.339062943,0.2515158,0.371422704
0.2313892,0.355546129,0.3175633,0.361961153,0.3305206,0.34319387,0.3468827,0.362779079,0.2403139,0.371958855
0.2038113,0.377706512,0.3096384,0.386107723,0.3214477,0.315240469,0.2886684,0.320352083,0.243793,0.372457198
0.2571347,0.351636267,0.3180921,0.348491632,0.3253268,0.333253288,0.331414,0.333410707,0.2508508,0.349638458
0.2885971,0.388178446,0.3191826,0.356782453,0.3312115,0.313576776,0.3008903,0.304803103,0.2759277,0.375359767
0.2704122,0.358634537,0.3318237,0.349065646,0.3087054,0.338018239,0.3125069,0.303317738,0.2001012,0.373863633
0.2880555,0.361713246,0.3116474,0.330211353,0.3214481,0.32519327,0.3325868,0.314015303,0.2257606,0.366766793
0.2142847,0.366828081,0.3209562,0.345557065,0.3274607,0.336750074,0.2988409,0.333379974,0.3084982,0.369506482
0.2846562,0.368881758,0.3247024,0.345530913,0.3280323,0.33793817,0.3288227,0.355596239,0.2425025,0.362847691
0.3571777,0.354845736,0.3213083,0.34913123,0.3209122,0.331774585,0.29591,0.345532622,0.2430528,0.369025671
0.205799,0.379581728,0.3047079,0.353784513,0.3261464,0.322595151,0.2906582,0.318594476,0.245264,0.376055753
0.2261262,0.373190106,0.3487303,0.341614052,0.3297635,0.309942905,0.3419146,0.337029032,0.255535,0.364819548
0.3326424,0.369887214,0.3285676,0.361052459,0.3389618,0.335143469,0.323101,0.321007992,0.2857408,0.363349276
0.2890906,0.352988247,0.3208755,0.348185717,0.3159055,0.343437388,0.3210197,0.295645384,0.2644769,0.376219958
0.2364125,0.344113846,0.3038074,0.32587285,0.3105715,0.316220311,0.3426375,0.339597717,0.2959254,0.370027106
0.1065844,0.361095181,0.314145,0.337521995,0.2997113,0.348447046,0.3425188,0.31321804,0.2389508,0.378904174
