CExp1,HExp1,CExp2,HExp2,CExp3,HExp3,CExp4,HExp4,CExp5,HExp5
0.7837443,0.642422182,0.9032319,0.77094709,0.9750807,0.863675016,0.9260468,0.878355832,2.0820152,0.702190239
2.9473537,0.746074088,0.8400859,0.75736015,0.9470616,0.794080379,0.9784768,0.994783705,1.5274483,0.7268977
3.7163346,0.720163995,0.9164231,0.764544809,0.9314365,0.844205696,0.8061165,0.892488283,2.7062402,0.692344181
0.8976614,0.742730959,0.9556766,0.756365388,0.9376385,0.836570414,0.9659683,0.905215144,1.8468828,0.702744197
2.9420937,0.738427917,1.004387,0.769117404,0.9729079,0.837546814,0.8396123,0.869941055,1.3705619,0.709226763
2.0573072,0.712840224,0.9905891,0.778306578,0.8969886,0.812443462,1.0868816,0.997549615,1.9216058,0.716405601
1.1835525,0.67222841,0.9133152,0.739481421,0.9506832,0.893973212,0.9171161,1.02242714,1.9476614,0.700765226
1.7531987,0.725560514,0.9064965,0.778498385,0.909789,0.845264833,1.0137487,0.883616953,2.3801597,0.707015165
3.318057,0.721579998,0.828256,0.809468222,0.8734418,0.899230086,0.8002386,0.96810494,1.915229,0.705118714
3.2075483,0.702393242,0.9484557,0.738301346,0.8817818,0.79825936,0.9245452,0.976756657,1.845328,0.688782756
0.9383993,0.666804106,1.0891491,0.801891665,0.9650609,0.861316458,0.78982,0.810599165,1.8381958,0.72084255
2.5176916,0.702883982,0.8881221,0.818372724,0.9875999,0.904577831,0.8220952,0.933467891,2.3323099,0.715785039
2.8032048,0.71113397,1.0743595,0.817213757,0.9149752,0.826761463,0.937683,0.908281615,2.222359,0.713436579
1.6718453,0.665921688,0.8864431,0.768745338,0.8778101,0.854224613,0.9334953,0.9261266,2.3647404,0.692770991
1.3175625,0.691640443,0.8270684,0.771833538,0.8513221,0.807154199,0.8861788,0.819554972,1.7966708,0.709893963
1.5357972,0.692179363,0.9241671,0.790521804,0.9716714,0.83359793,0.9564352,0.834194733,2.7984666,0.725338838
1.2094674,0.739874834,0.933912,0.759390908,0.9652035,0.8104046,1.0337044,0.920140631,2.5902655,0.718059575
2.3451054,0.704564382,0.9885011,0.787041183,0.9904406,0.868703983,1.0812965,0.789359672,1.3130052,0.715266294
1.5386467,0.666222885,0.9555276,0.742714327,0.910497,0.884873188,1.0060058,0.910802088,2.3263748,0.732084924
0.7855813,0.713081349,0.9011993,0.814222069,0.9178442,0.850360747,0.9405794,0.987845955,2.0232539,0.665189664
2.7841,0.752785404,0.8362458,0.782197045,0.9258992,0.843186768,1.0700298,1.074335989,2.084059,0.715577155
2.0088166,0.740582217,0.8883222,0.777667191,0.8705382,0.820526506,0.8125677,0.974808974,2.049777,0.687596207
1.4103698,0.721628238,0.8994416,0.847389661,0.8509809,0.849862694,0.9315071,0.695846389,1.7596725,0.696237162
1.3804536,0.677136608,0.8614568,0.794698066,0.9403188,0.88540959,1.1231156,0.866060652,1.7617269,0.713189989
2.0231979,0.746549999,0.8614825,0.797299124,0.9412909,0.813543745,0.9085194,0.892416065,1.6591564,0.693353027
4.1976265,0.744825457,1.055967,0.767331415,0.8888828,0.889424181,0.8763437,0.913440827,2.2625964,0.727527774
