CExp1,HExp1,CExp2,HExp2,CExp3,HExp3,CExp4,HExp4,CExp5,HExp5
3.5124874,3.509236866,3.8215109,3.5771244,3.6652653,3.617041994,4.1021093,4.362525157,3.8458036,4.004420872
4.6478338,3.852898659,3.9820009,4.052339905,4.2513681,3.932388549,4.1294443,3.587141702,4.1723429,3.988479831
3.9595455,4.077841436,4.5909773,3.328295707,3.9845752,3.533399897,3.6561442,3.990625928,4.3951149,3.717384969
4.3203711,3.63898582,4.0675252,3.823153687,3.8763906,3.706004949,3.9270142,4.084049293,4.4640895,3.621110957
4.5243791,4.162338108,3.9858689,3.808010044,3.7369569,4.023153186,3.912667,4.274701969,5.216916,3.721931298
4.4308806,3.808698999,3.8913372,3.698375974,3.9606715,3.656285907,4.0941261,3.758094469,4.5559671,3.692047091
4.307675,3.285800545,3.8112815,3.755096832,3.7899383,3.565045301,3.6020103,3.65546159,5.1024279,3.870875677
3.6638554,4.093930901,3.960414,3.652376624,3.8190534,3.67659526,3.9490365,3.467020276,4.5910246,4.057693384
4.38027049,3.743209477,3.9140437,3.786885719,3.9324368,3.958958921,3.5318987,4.003130623,4.6181682,3.830945146
4.3537772,4.00712938,3.9557785,3.732578123,3.8773178,3.556320598,4.117618,4.289736486,4.6022669,3.905494037
3.7633157,3.950955099,4.204964,3.99034534,3.9180864,3.717309542,4.1383666,4.459061112,4.9826067,3.692648324
4.2588416,3.221859453,3.8007269,3.714950366,3.8463663,3.806197736,3.8925393,3.391281046,4.5298121,3.664396772
4.6218393,4.61635981,3.9710217,3.700163915,3.8475059,3.705311925,3.2976443,3.773333068,4.385407,3.873602609
4.6197591,4.229289441,3.8445545,3.95302961,3.8417914,3.83502206,4.0840855,4.213399239,4.7246926,3.73964926
5.4947097,3.886596675,4.089981,3.783024421,3.912812,3.778272977,3.8536807,4.10650157,4.5411468,3.862633784
4.692045,4.072429634,4.3698933,3.305460771,3.6218549,3.916174691,3.9276577,3.708095195,4.9115678,3.901961368
4.3444822,3.732679538,4.0088703,4.05866956,4.0871075,3.730403938,3.4792524,3.821529803,4.5936578,3.547441483
4.1155895,3.936107346,3.7939019,3.710003855,4.0206371,3.910281141,4.2479467,4.287874496,4.0403121,3.88192718
4.5074264,4.010457092,4.7332922,3.51727069,3.7907909,3.708009317,4.0547987,3.772734865,4.7831354,3.801872135
4.6392321,3.720586129,3.9583336,3.733434113,3.9703021,3.631294566,3.8752865,3.234449821,4.372834,3.867367268
3.912329,4.070141893,3.7602754,3.845083482,3.8308029,4.000840956,3.4198285,3.818728262,4.3794022,3.890054345
5.5904735,3.997616556,3.9659205,3.559647608,3.7757708,3.839760698,4.0072334,4.144559358,4.2313169,3.750479043
4.500102,3.953121544,3.7716145,3.648079945,3.6999773,3.803124452,3.6045194,4.170119447,4.40353,3.736860458
4.2514828,3.881265244,4.0874164,3.744421703,3.7917668,3.556891898,3.8565776,3.506234549,4.9650751,4.048417085
5.6568954,3.88485702,3.7653993,3.568509922,4.0121413,3.890706361,4.5358908,3.932971224,4.718012,3.646643426
4.9574886,3.983039591,4.0642268,3.974851472,4.022122,3.889812045,3.8313621,3.735119537,4.348158,3.823151229
4.7208875,3.952823585,4.1590152,3.903973734,3.8509865,3.972546104,3.4062615,4.224293554,4.4862298,3.676444335
3.8980488,3.876531598,3.5707018,3.801476458,3.7286987,3.894262824,3.7799846,3.80832416,4.6763365,3.923568145
3.3613805,3.595884682,4.0698124,4.056011127,3.8495554,3.64733001,4.1519253,3.398902861,4.662413,3.859238127
5.1564196,3.949165902,4.243107,4.224188702,3.8592786,3.546640831,3.8602275,3.811754569,4.3539826,3.873229185
3.4567588,3.93679522,4.1091517,3.960327199,3.9443166,4.014002733,3.811372,3.860342996,4.3396266,3.710613636
4.126784,3.904203151,3.7065392,3.900067862,4.0724166,3.94311308,4.0735857,3.80955896,4.6488858,3.805107348
4.92796583,3.327773143,4.3154772,3.663002316,3.913725,3.967944969,3.9448746,3.594841361,4.8822553,3.870720458
4.4421839,3.82835326,3.7347216,3.702336206,3.8700857,3.437364782,4.3005434,4.222841536,4.3823579,3.754523413
4.0042649,3.771758632,4.019055,3.884842113,3.8904958,3.895953749,3.5787451,4.251384483,4.785257,3.79272906
5.2251819,3.804338276,4.0465639,3.738266456,3.8098915,4.002111863,4.0003496,3.460281517,4.6754337,3.973924333
4.3365986,4.405233227,4.0184921,4.119490172,3.6360314,3.756471152,4.5397143,3.153393405,4.5921936,3.860987161
5.4817336,3.999389362,4.1791182,3.753790076,3.7616114,3.926521396,4.083007,4.059209863,4.6698162,3.944968374
4.6611344,3.837907174,4.0759809,3.868987724,3.8216272,3.856852538,3.9369213,3.321802875,5.1987093,3.828712621
4.2814043,4.017952355,3.8622699,4.157056043,4.2031073,4.121632494,3.9049273,4.06711605,4.5903036,3.76724938
